chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
pppp	0	0	4	0	0	0	0	0.05565
ppppp	0	0	5	0	0	0	0	0.06988
ppp	0	0	3	0	0	0	0	0.04883
pppp	0	0	4	0	0	0	0	0.06171
pppp	0	0	4	0	0	0	0	0.05994
ppppp	0	0	5	0	0	0	0	0.06706
pppp	0	0	4	0	0	0	0	0.06166
pppp	0	0	4	0	0	0	0	0.06291
pp	0	0	2	0	0	0	0	0.04649
p	0	0	1	0	0	0	0	0.03329
ppppp	0	0	5	0	0	0	0	0.06724
pppp	0	0	4	0	0	0	0	0.05351
ppppp	0	0	5	0	0	0	0	0.08023
pppp	0	0	4	0	0	0	0	0.06548
pppp	0	0	4	0	0	0	0	0.06511
pp	0	0	2	0	0	0	0	0.04443
p	0	0	1	0	0	0	0	0.0331
pppp	0	0	4	0	0	0	0	0.06364
ppp	0	0	3	0	0	0	0	0.08533
pppp	0	0	4	0	0	0	0	0.10305
pppp	0	0	4	0	0	0	0	0.11289
pppp	0	0	4	0	0	0	0	0.09953
ppppp	0	0	5	0	0	0	0	0.11833
pppp	0	0	4	0	0	0	0	0.10798
ptt	0	0	1	2	0	0	0	0.14652
pptpt	0	0	3	2	0	0	0	0.1768
potp	0	1	2	1	0	0	0	0.17518
tpot	0	1	1	2	0	0	0	0.15704
ttt	0	0	0	3	0	0	0	0.09302
tttt	0	0	0	4	0	0	0	0.10514
tppot	0	1	2	2	0	0	0	0.18327
ptt	0	0	1	2	0	0	0	0.13122
pptpt	0	0	3	2	0	0	0	0.14063
potp	0	1	2	1	0	0	0	0.12671
tpot	0	1	1	2	0	0	0	0.13314
ttt	0	0	0	3	0	0	0	0.09723
tttt	0	0	0	4	0	0	0	0.09683
tppot	0	1	2	2	0	0	0	0.15861
ptt	0	0	1	2	0	0	0	0.15795
pptpt	0	0	3	2	0	0	0	0.17862
potp	0	1	2	1	0	0	0	0.17607
tpot	0	1	1	2	0	0	0	0.15932
ttt	0	0	0	3	0	0	0	0.09626
tttt	0	0	0	4	0	0	0	0.11317
tppot	0	1	2	2	0	0	0	0.18241
ptt	0	0	1	2	0	0	0	0.14499
pptpt	0	0	3	2	0	0	0	0.16722
potp	0	1	2	1	0	0	0	0.16007
tpot	0	1	1	2	0	0	0	0.15104
ttt	0	0	0	3	0	0	0	0.09846
tttt	0	0	0	4	0	0	0	0.10626
tppot	0	1	2	2	0	0	0	0.16735
ptt	0	0	1	2	0	0	0	0.14632
pptpt	0	0	3	2	0	0	0	0.16459
potp	0	1	2	1	0	0	0	0.15811
tpot	0	1	1	2	0	0	0	0.15212
ttt	0	0	0	3	0	0	0	0.09424
tttt	0	0	0	4	0	0	0	0.11063
tppot	0	1	2	2	0	0	0	0.17137
ptt	0	0	1	2	0	0	0	0.17416
pptpt	0	0	3	2	0	0	0	0.1996
potp	0	1	2	1	0	0	0	0.21286
tpot	0	1	1	2	0	0	0	0.16543
tttt	0	0	0	4	0	0	0	0.10517
ptt	0	0	1	2	0	0	0	0.16423
ptt	0	0	1	2	0	0	0	0.15955
pptpt	0	0	3	2	0	0	0	0.18195
tpot	0	1	1	2	0	0	0	0.1609
tot	0	1	0	2	0	0	0	0.10814
tttt	0	0	0	4	0	0	0	0.11762
ttp	0	0	1	2	0	0	0	0.14397
ptt	0	0	1	2	0	0	0	0.16363
ptt	0	0	1	2	0	0	0	0.16123
pptpt	0	0	3	2	0	0	0	0.18571
tpot	0	1	1	2	0	0	0	0.17353
tot	0	1	0	2	0	0	0	0.10981
tttt	0	0	0	4	0	0	0	0.11448
ttp	0	0	1	2	0	0	0	0.14977
ptt	0	0	1	2	0	0	0	0.13614
ptt	0	0	1	2	0	0	0	0.1452
pptpt	0	0	3	2	0	0	0	0.16457
tpot	0	1	1	2	0	0	0	0.15343
tot	0	1	0	2	0	0	0	0.09628
tttt	0	0	0	4	0	0	0	0.10815
ttp	0	0	1	2	0	0	0	0.12618
ptt	0	0	1	2	0	0	0	0.16448
ptt	0	0	1	2	0	0	0	0.1488
pptpt	0	0	3	2	0	0	0	0.17609
potp	0	1	2	1	0	0	0	0.13724
tpot	0	1	1	2	0	0	0	0.15292
tot	0	1	0	2	0	0	0	0.0877
tttt	0	0	0	4	0	0	0	0.10315
ttp	0	0	1	2	0	0	0	0.15347
ptt	0	0	1	2	0	0	0	0.1171
pptpt	0	0	3	2	0	0	0	0.13071
potp	0	1	2	1	0	0	0	0.12815
tpot	0	1	1	2	0	0	0	0.11001
tttt	0	0	0	4	0	0	0	0.09787
ptt	0	0	1	2	0	0	0	0.11349
pptpt	0	0	3	2	0	0	0	0.13573
potp	0	1	2	1	0	0	0	0.14175
tpot	0	1	1	2	0	0	0	0.12969
tot	0	1	0	2	0	0	0	0.08672
tttt	0	0	0	4	0	0	0	0.09777
ttp	0	0	1	2	0	0	0	0.09537
ptt	0	0	1	2	0	0	0	0.10183
ptt	0	0	1	2	0	0	0	0.11224
pptpt	0	0	3	2	0	0	0	0.12676
tpot	0	1	1	2	0	0	0	0.11938
tot	0	1	0	2	0	0	0	0.08176
tttt	0	0	0	4	0	0	0	0.0932
ttp	0	0	1	2	0	0	0	0.10896
ptt	0	0	1	2	0	0	0	0.11688
ptt	0	0	1	2	0	0	0	0.1005
pptpt	0	0	3	2	0	0	0	0.12128
potp	0	1	2	1	0	0	0	0.11391
tpot	0	1	1	2	0	0	0	0.1093
tot	0	1	0	2	0	0	0	0.0831
tttt	0	0	0	4	0	0	0	0.09548
ttp	0	0	1	2	0	0	0	0.11063
ptt	0	0	1	2	0	0	0	0.12037
pptpt	0	0	3	2	0	0	0	0.13611
tpot	0	1	1	2	0	0	0	0.13224
tttt	0	0	0	4	0	0	0	0.09838
ptt	0	0	1	2	0	0	0	0.11509
pptpt	0	0	3	2	0	0	0	0.13714
tpot	0	1	1	2	0	0	0	0.11991
tttt	0	0	0	4	0	0	0	0.09891
pptpt	0	0	3	2	0	0	0	0.14027
tpot	0	1	1	2	0	0	0	0.12744
tttt	0	0	0	4	0	0	0	0.10282
pptpt	0	0	3	2	0	0	0	0.14616
tpot	0	1	1	2	0	0	0	0.13527
tttt	0	0	0	4	0	0	0	0.09868
ptt	0	0	1	2	0	0	0	0.107
pptpt	0	0	3	2	0	0	0	0.16046
potp	0	1	2	1	0	0	0	0.09169
tpot	0	1	1	2	0	0	0	0.11715
tttt	0	0	0	4	0	0	0	0.09044
ptt	0	0	1	2	0	0	0	0.1072
potp	0	1	2	1	0	0	0	0.12595
tpot	0	1	1	2	0	0	0	0.12965
tttt	0	0	0	4	0	0	0	0.10056
potp	0	1	2	1	0	0	0	0.11672
tpot	0	1	1	2	0	0	0	0.14041
topt	0	1	1	2	0	0	0	0.1079
tttt	0	0	0	4	0	0	0	0.09599
tpt	0	0	1	2	0	0	0	0.1035
potp	0	1	2	1	0	0	0	0.13729
topt	0	1	1	2	0	0	0	0.13994
tttt	0	0	0	4	0	0	0	0.10387
tpt	0	0	1	2	0	0	0	0.14388
potp	0	1	2	1	0	0	0	0.12655
topt	0	1	1	2	0	0	0	0.13557
tttt	0	0	0	4	0	0	0	0.0971
potp	0	1	2	1	0	0	0	0.12468
topt	0	1	1	2	0	0	0	0.13118
tttt	0	0	0	4	0	0	0	0.09293
potp	0	1	2	1	0	0	0	0.12548
topt	0	1	1	2	0	0	0	0.12678
tttt	0	0	0	4	0	0	0	0.09612
potp	0	1	2	1	0	0	0	0.1216
topt	0	1	1	2	0	0	0	0.12647
tttt	0	0	0	4	0	0	0	0.09537
potp	0	1	2	1	0	0	0	0.15339
topt	0	1	1	2	0	0	0	0.1449
tttt	0	0	0	4	0	0	0	0.10576
tpt	0	0	1	2	0	0	0	0.13198
potp	0	1	2	1	0	0	0	0.15089
topt	0	1	1	2	0	0	0	0.15941
tttt	0	0	0	4	0	0	0	0.11683
tpt	0	0	1	2	0	0	0	0.13542
potp	0	1	2	1	0	0	0	0.1561
topt	0	1	1	2	0	0	0	0.15977
tttt	0	0	0	4	0	0	0	0.12686
tpt	0	0	1	2	0	0	0	0.13213
topt	0	1	1	2	0	0	0	0.15494
epto	1	1	1	1	0	0	0	0.08669
etpoe	2	1	1	1	0	0	0	0.17248
ottpe	1	1	1	2	0	0	0	0.09018
oet	1	1	0	1	0	0	0	0.07143
peope	2	1	2	0	0	0	0	0.22328
teet	2	0	0	2	0	0	0	0.21942
wo	0	1	0	0	0	1	0	0.94141
epto	1	1	1	1	0	0	0	0.08673
eeop	2	1	1	0	0	0	0	0.22175
ottpe	1	1	1	2	0	0	0	0.08821
oet	1	1	0	1	0	0	0	0.07451
peope	2	1	2	0	0	0	0	0.18913
wo	0	1	0	0	0	1	0	0.94324
epto	1	1	1	1	0	0	0	0.0888
eeop	2	1	1	0	0	0	0	0.25724
ottpe	1	1	1	2	0	0	0	0.08915
oet	1	1	0	1	0	0	0	0.06695
peope	2	1	2	0	0	0	0	0.19116
wo	0	1	0	0	0	1	0	0.96009
epto	1	1	1	1	0	0	0	0.09349
eeop	2	1	1	0	0	0	0	0.22729
ottpe	1	1	1	2	0	0	0	0.09281
oet	1	1	0	1	0	0	0	0.07715
peope	2	1	2	0	0	0	0	0.19261
wo	0	1	0	0	0	1	0	0.95069
epto	1	1	1	1	0	0	0	0.09872
etpoe	2	1	1	1	0	0	0	0.23199
eeop	2	1	1	0	0	0	0	0.19684
ottpe	1	1	1	2	0	0	0	0.09315
oet	1	1	0	1	0	0	0	0.08074
peope	2	1	2	0	0	0	0	0.19449
wo	0	1	0	0	0	1	0	0.95891
epto	1	1	1	1	0	0	0	0.12012
etpoe	2	1	1	1	0	0	0	0.22022
ottpe	1	1	1	2	0	0	0	0.1096
oet	1	1	0	1	0	0	0	0.06893
tppoe	1	1	2	1	0	0	0	0.15776
wo	0	1	0	0	0	1	0	0.96172
epto	1	1	1	1	0	0	0	0.08264
etpoe	2	1	1	1	0	0	0	0.20418
ottpe	1	1	1	2	0	0	0	0.09263
oet	1	1	0	1	0	0	0	0.07339
